type,address,description,proxy
cex,0x2b5634c42055806a59e9107ed44d43c426e58258,KuCoin,KuCoin
cex,0x689c56aef474df92d44a1b70850f808488f9769c,KuCoin,KuCoin 2
cex,0xa1d8d972560c2f8144af871db508f0b0b10a3fbf,KuCoin,KuCoin 3
cex,0x4ad64983349c49defe8d7a4686202d24b25d0ce8,KuCoin,KuCoin 4
cex,0x1692e170361cefd1eb7240ec13d048fd9af6d667,KuCoin,KuCoin 5
cex,0xd6216fc19db775df9774a6e33526131da7d19a2c,KuCoin,KuCoin 6
cex,0xe59cd29be3be4461d79c0881d238cbe87d64595a,KuCoin,KuCoin 7
cex,0x899b5d52671830f567bf43a14684eb14e1f945fe,KuCoin,KuCoin 8
cex,0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91,KuCoin,KuCoin 9
cex,0xcad621da75a66c7a8f4ff86d30a2bf981bfc8fdd,KuCoin,KuCoin 10
cex,0xec30d02f10353f8efc9601371f56e808751f396f,KuCoin,KuCoin 11
cex,0x738cf6903e6c4e699d1c2dd9ab8b67fcdb3121ea,KuCoin,KuCoin 12
cex,0xd89350284c7732163765b23338f2ff27449e0bf5,KuCoin,KuCoin 13
cex,0x88bd4d3e2997371bceefe8d9386c6b5b4de60346,KuCoin,KuCoin 14
cex,0xb8e6d31e7b212b2b7250ee9c26c56cebbfbe6b23,KuCoin,KuCoin 15
cex,0x41e29c02713929f800419abe5770faa8a5b4dadc,KuCoin,KuCoin 16
cex,0x45300136662dd4e58fc0df61e6290dffd992b785,KuCoin,KuCoin 17
cex,0x83c41363cbee0081dab75cb841fa24f3db46627e,KuCoin,KuCoin 18
cex,0x7491f26a0fcb459111b3a1db2fbfc4035d096933,KuCoin,KuCoin 19
cex,0x58edf78281334335effa23101bbe3371b6a36a51,KuCoin,KuCoin 20
cex,0xf97deb1c0bb4536ff16617d29e5f4b340fe231df,KuCoin,KuCoin 21
cex,0xd91efec7e42f80156d1d9f660a69847188950747,KuCoin,KuCoin: ERC-20 Batch Transfer
cex,0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,OKX,OKX
cex,0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,OKX,OKX 2
cex,0xa7efae728d2936e78bda97dc267687568dd593f3,OKX,OKX 3
cex,0x2c8fbb630289363ac80705a1a61273f76fd5a161,OKX,OKX 4
cex,0x59fae149a8f8ec74d5bc038f8b76d25b136b9573,OKX,OKX 5
cex,0x98ec059dc3adfbdd63429454aeb0c990fba4a128,OKX,OKX 6
cex,0x5041ed759dd4afc3a72b8192c143f72f4724081a,OKX,OKX 7
cex,0xcba38020cd7b6f51df6afaf507685add148f6ab6,OKX,OKX 8
cex,0x461249076b88189f8ac9418de28b365859e46bfd,OKX,OKX 9
cex,0xc5451b523d5fffe1351337a221688a62806ad91a,OKX,OKX 10
cex,0x42436286a9c8d63aafc2eebbca193064d68068f2,OKX,OKX 11
cex,0x69a722f0b5da3af02b4a205d6f0c285f4ed8f396,OKX,OKX 12
cex,0xc708a1c712ba26dc618f972ad7a187f76c8596fd,OKX,OKX 13
cex,0x6fb624b48d9299674022a23d92515e76ba880113,OKX,OKX 14
cex,0xf59869753f41db720127ceb8dbb8afaf89030de4,OKX,OKX 15
cex,0x65a0947ba5175359bb457d3b34491edf4cbf7997,OKX,OKX 16
cex,0x4d19c0a5357bc48be0017095d3c871d9afc3f21d,OKX,OKX 17
cex,0x5c52cc7c96bde8594e5b77d5b76d042cb5fae5f2,OKX,OKX 18
cex,0xe9172daf64b05b26eb18f07ac8d6d723acb48f99,OKX,OKX 19
cex,0x7eb6c83ab7d8d9b8618c0ed973cbef71d1921ef2,OKX,OKX 20
cex,0xbda23b750dd04f792ad365b5f2a6f1d8593796f2,OKX,OKX 21
cex,0x276cdba3a39abf9cedba0f1948312c0681e6d5fd,OKX,OKX 22
cex,0x3d55ccb2a943d88d39dd2e62daf767c69fd0179f,OKX,OKX 23
cex,0xbf94f0ac752c739f623c463b5210a7fb2cbb420b,OKX,OKX 24
cex,0xf7858da8a6617f7c6d0ff2bcafdb6d2eedf64840,OKX,OKX 25
cex,0x68841a1806ff291314946eebd0cda8b348e73d6d,OKX,OKX 26
cex,0x3b3ae790df4f312e745d270119c6052904fb6790,OKX,OKX DEX: Aggregation Router
cex,0x00bdb5699745f5b860228c8f939abf1b9ae374ed,Bitstamp,Bitstamp 1
cex,0x1522900b6dafac587d499a862861c0869be6e428,Bitstamp,Bitstamp 2
cex,0x9a9bed3eb03e386d66f8a29dc67dc29bbb1ccb72,Bitstamp,Bitstamp 3
cex,0x059799f2261d37b829c2850cee67b5b975432271,Bitstamp,Bitstamp 4
cex,0x4c766def136f59f6494f0969b1355882080cf8e0,Bitstamp,Bitstamp 5
cex,0xc5b611f502a0dcf6c3188fd494061ae29b2baa4f,Bitstamp,Bitstamp 6
cex,0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,Bitfinex,Bitfinex 1
cex,0x742d35cc6634c0532925a3b844bc454e4438f44e,Bitfinex,Bitfinex 2
cex,0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,Bitfinex,Bitfinex 3
cex,0xdcd0272462140d0a3ced6c4bf970c7641f08cd2c,Bitfinex,Bitfinex 4
cex,0x4fdd5eb2fb260149a3903859043e962ab89d8ed4,Bitfinex,Bitfinex 5
cex,0x1b29dd8ff0eb3240238bf97cafd6edea05d5ba82,Bitfinex,Bitfinex 6
cex,0x30a2ebf10f34c6c4874b0bdd5740690fd2f3b70c,Bitfinex,Bitfinex 7
cex,0x3f7e77b627676763997344a1ad71acb765fc8ac5,Bitfinex,Bitfinex 8
cex,0x59448fe20378357f206880c58068f095ae63d5a5,Bitfinex,Bitfinex 9
cex,0x36a85757645e8e8aec062a1dee289c7d615901ca,Bitfinex,Bitfinex 10
cex,0xc56fefd1028b0534bfadcdb580d3519b5586246e,Bitfinex,Bitfinex 11
cex,0x0b73f67a49273fc4b9a65dbd25d7d0918e734e63,Bitfinex,Bitfinex 12
cex,0x482f02e8bc15b5eabc52c6497b425b3ca3c821e8,Bitfinex,Bitfinex 13
cex,0x1b8766d041567eed306940c587e21c06ab968663,Bitfinex,Bitfinex 14
cex,0x5a710a3cdf2af218740384c52a10852d8870626a,Bitfinex,Bitfinex 15
cex,0x28140cb1ac771d4add91ee23788e50249c10263d,Bitfinex,Bitfinex 16
cex,0x53b36141490c419fa27ecabfeb8be1ecadc82431,Bitfinex,Bitfinex 17
cex,0x0cd76cd43992c665fdc2d8ac91b935ca3165e782,Bitfinex,Bitfinex 18
cex,0xe92d1a43df510f82c66382592a047d288f85226f,Bitfinex,Bitfinex 19
cex,0x8103683202aa8da10536036edef04cdd865c225e,Bitfinex,Bitfinex 20
cex,0x77134cbc06cb00b66f4c7e623d5fdbf6777635ec,Bitfinex,Bitfinex: Hot Wallet
cex,0x0d0707963952f2fba59dd06f2b425ace40b492fe,Gate.io,Gate.io
cex,0x7793cd85c11a924478d358d49b05b37e91b5810f,Gate.io,Gate.io 2
cex,0x1c4b70a3968436b9a0a9cf5205c787eb81bb558c,Gate.io,Gate.io 3
cex,0x234ee9e35f8e9749a002fc42970d570db716453b,Gate.io,Gate.io 4
cex,0xc882b111a75c0c657fc507c04fbfcd2cc984f071,Gate.io,Gate.io 5
cex,0xf89d7b9c864f589bbf53a82105107622b35eaa40,Bybit,Bybit: Hot Wallet
cex,0x03bdf69b1322d623836afbd27679a1c0afa067e9,AscendEX,AscendEX 1
cex,0x4b1a99467a284cc690e3237bc69105956816f762,AscendEX,AscendEX 2
cex,0x986a2fca9eda0e06fbf7839b89bfc006ee2a23dd,AscendEX,AscendEX 3
cex,0xf73c3c65bde10bf26c2e1763104e609a41702efe,Bibox,Bibox
cex,0x111cff45948819988857bbf1966a0399e0d1141e,bitFlyer,bitFlyer
cex,0x7c49e1c0e33f3efb57d64b7690fa287c8d15b90a,Bit2C,Bit2C
cex,0xa30d8157911ef23c46c0eb71889efe6a648a41f7,BigONE,BigONE
