Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_CONTINENT,SEXE
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,37,2087,..,1,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,37,2087,69,2,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,37,2087,40,2,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,37,2087,37,3,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,37,2087,20,3,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,37,2087,675,4,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,37,2087,552,4,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2088,7,1,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2088,13,1,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2088,59,2,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2088,62,2,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2088,32,3,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2088,32,3,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2088,797,4,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2088,690,4,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2088,..,5,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2089,6,1,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2089,10,1,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2089,83,2,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2089,59,2,2
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2089,38,3,1
2023-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2089,21,3,2
