Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,LLOC_NAIX,SEXE
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,335,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,404,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,46,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,45,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,81,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,88,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,111,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,110,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,837,5,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,995,5,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,..,6,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,270,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,248,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,36,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,31,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,80,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,72,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,70,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,67,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,480,5,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,519,5,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,..,6,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,..,6,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,235,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,221,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,28,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,29,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,65,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,58,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,37,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,37,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,358,5,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,384,5,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,..,6,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1014,224,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1014,243,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1014,25,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1014,39,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1014,78,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1014,85,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1014,51,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1014,55,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1014,468,5,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1014,566,5,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,284,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,298,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,35,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,31,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,87,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,100,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,69,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,89,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,671,5,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,614,5,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,..,6,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1016,226,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1016,247,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1016,37,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1016,38,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1016,59,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1016,50,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1016,56,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1016,68,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1016,658,5,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1016,594,5,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1017,244,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1017,300,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1017,32,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1017,28,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1017,65,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1017,60,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1017,87,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1017,84,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1017,806,5,1
2023-01-01,1,Ciutat Vella,1,el Raval,6,1017,792,5,2
2023-01-01,1,Ciutat Vella,1,el Raval,7,1018,216,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,7,1018,217,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,7,1018,25,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,7,1018,24,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,7,1018,71,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,7,1018,62,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,7,1018,67,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,7,1018,51,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,7,1018,374,5,1
2023-01-01,1,Ciutat Vella,1,el Raval,7,1018,416,5,2
2023-01-01,1,Ciutat Vella,1,el Raval,7,1018,..,6,2
2023-01-01,1,Ciutat Vella,1,el Raval,7,1019,306,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,7,1019,312,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,7,1019,49,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,7,1019,44,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,7,1019,115,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,7,1019,102,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,7,1019,113,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,7,1019,118,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,7,1019,662,5,1
2023-01-01,1,Ciutat Vella,1,el Raval,7,1019,845,5,2
2023-01-01,1,Ciutat Vella,1,el Raval,7,1019,..,6,1
2023-01-01,1,Ciutat Vella,1,el Raval,7,1019,..,6,2
2023-01-01,1,Ciutat Vella,1,el Raval,7,1020,283,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,7,1020,280,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,7,1020,92,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,7,1020,67,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,7,1020,158,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,7,1020,100,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,7,1020,150,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,7,1020,166,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,7,1020,474,5,1
2023-01-01,1,Ciutat Vella,1,el Raval,7,1020,459,5,2
2023-01-01,1,Ciutat Vella,1,el Raval,7,1020,..,6,1
2023-01-01,1,Ciutat Vella,1,el Raval,7,1020,..,6,2
2023-01-01,1,Ciutat Vella,1,el Raval,8,1021,283,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,8,1021,233,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,8,1021,78,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,8,1021,70,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,8,1021,148,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,8,1021,115,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,8,1021,113,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,8,1021,140,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,8,1021,456,5,1
2023-01-01,1,Ciutat Vella,1,el Raval,8,1021,506,5,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,202,1,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,177,1,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,51,2,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,44,2,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,60,3,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,64,3,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,91,4,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,100,4,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,342,5,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,637,5,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,..,6,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,..,6,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,289,1,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,265,1,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,56,2,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,46,2,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,116,3,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,87,3,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,133,4,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,131,4,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,406,5,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,437,5,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,173,1,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,173,1,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,27,2,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,44,2,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,46,3,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,47,3,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,115,4,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,129,4,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,281,5,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,279,5,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,428,1,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,516,1,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,74,2,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,119,2,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,134,3,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,202,3,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,168,4,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,236,4,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,1747,5,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,7044,5,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,..,6,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,..,6,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,203,1,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,203,1,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,45,2,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,25,2,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,85,3,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,56,3,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,128,4,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,106,4,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,290,5,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,298,5,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,..,6,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,260,1,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,198,1,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,41,2,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,49,2,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,90,3,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,77,3,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,162,4,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,176,4,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,414,5,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,434,5,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,..,6,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,134,1,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,129,1,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,32,2,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,31,2,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,60,3,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,54,3,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,137,4,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,118,4,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,348,5,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,341,5,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,..,6,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,314,1,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,341,1,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,53,2,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,61,2,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,138,3,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,120,3,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,170,4,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,157,4,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,497,5,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,598,5,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,153,1,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,170,1,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,24,2,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,27,2,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,70,3,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,74,3,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,112,4,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,134,4,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,373,5,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,421,5,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,..,6,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,266,1,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,276,1,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,40,2,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,46,2,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,102,3,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,69,3,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,120,4,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,119,4,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,322,5,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,361,5,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,..,6,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,147,1,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,167,1,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,27,2,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,26,2,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,51,3,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,59,3,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,74,4,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,81,4,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,187,5,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,231,5,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,139,1,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,149,1,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,17,2,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,11,2,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,47,3,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,40,3,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,85,4,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,82,4,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,168,5,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,197,5,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,166,1,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,183,1,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,29,2,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,20,2,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,76,3,1
2023-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,59,3,2
2023-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,89,4,1
