Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,LLOC_NAIX_CCAA,SEXE
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,465,20,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,555,20,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,24,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,23,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,6,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,..,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,..,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,..,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,..,5,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,..,6,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,..,6,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,8,7,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,10,7,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,5,8,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,..,8,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,239,9,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,305,9,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,..,10,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,..,10,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,..,11,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,..,11,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,9,12,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,13,12,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,6,13,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,5,13,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,..,14,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,..,15,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,..,16,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,..,16,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,..,17,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,..,19,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,483,20,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,740,20,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,24,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,22,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,6,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,11,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,..,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,8,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,..,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,..,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,..,5,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,..,5,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,..,6,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,10,7,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,9,7,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,6,8,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,8,8,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,380,9,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,442,9,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,10,10,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,11,10,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,5,11,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,6,11,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,17,12,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,16,12,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,8,13,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,..,13,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,..,14,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,..,14,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,..,15,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,..,15,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,..,16,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,6,16,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,..,17,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,..,17,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,..,19,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,..,19,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,844,20,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,1211,20,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,18,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,19,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,11,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,7,2,2
