Data_Referencia,Valor,LLOC_NAIX_PAIS,EDAT_Q,SEXE
2023-01-01,206,22,6,2
2023-01-01,90,22,7,1
2023-01-01,123,22,7,2
2023-01-01,94,22,8,1
2023-01-01,131,22,8,2
2023-01-01,63,22,9,1
2023-01-01,101,22,9,2
2023-01-01,47,22,10,1
2023-01-01,83,22,10,2
2023-01-01,49,22,11,1
2023-01-01,59,22,11,2
2023-01-01,25,22,12,1
2023-01-01,26,22,12,2
2023-01-01,18,22,13,1
2023-01-01,10,22,13,2
2023-01-01,12,22,14,1
2023-01-01,8,22,14,2
2023-01-01,13,22,15,1
2023-01-01,..,22,15,2
2023-01-01,9,22,16,1
2023-01-01,..,22,16,2
2023-01-01,14,22,17,1
2023-01-01,..,22,18,1
2023-01-01,..,22,18,2
2023-01-01,..,22,19,1
2023-01-01,..,32,0,1
2023-01-01,..,32,0,2
2023-01-01,12,32,1,1
2023-01-01,15,32,1,2
2023-01-01,7,32,2,1
2023-01-01,17,32,2,2
2023-01-01,29,32,3,1
2023-01-01,18,32,3,2
2023-01-01,73,32,4,1
2023-01-01,50,32,4,2
2023-01-01,130,32,5,1
2023-01-01,91,32,5,2
2023-01-01,132,32,6,1
2023-01-01,83,32,6,2
2023-01-01,163,32,7,1
2023-01-01,102,32,7,2
2023-01-01,117,32,8,1
2023-01-01,106,32,8,2
2023-01-01,115,32,9,1
2023-01-01,104,32,9,2
2023-01-01,76,32,10,1
2023-01-01,81,32,10,2
2023-01-01,44,32,11,1
2023-01-01,47,32,11,2
2023-01-01,49,32,12,1
2023-01-01,41,32,12,2
2023-01-01,30,32,13,1
2023-01-01,18,32,13,2
2023-01-01,31,32,14,1
2023-01-01,16,32,14,2
2023-01-01,19,32,15,1
2023-01-01,..,32,15,2
2023-01-01,8,32,16,1
2023-01-01,7,32,16,2
2023-01-01,..,32,17,1
2023-01-01,..,235,0,1
2023-01-01,..,235,1,1
2023-01-01,..,235,2,2
2023-01-01,..,235,3,1
2023-01-01,16,235,4,1
2023-01-01,10,235,4,2
2023-01-01,28,235,5,1
2023-01-01,26,235,5,2
2023-01-01,17,235,6,1
2023-01-01,21,235,6,2
2023-01-01,7,235,7,1
2023-01-01,12,235,7,2
2023-01-01,6,235,8,1
2023-01-01,10,235,8,2
2023-01-01,..,235,9,1
2023-01-01,..,235,9,2
2023-01-01,..,235,10,2
2023-01-01,..,235,11,1
2023-01-01,..,235,11,2
2023-01-01,..,235,12,1
2023-01-01,..,235,12,2
2023-01-01,..,235,13,2
2023-01-01,..,235,16,2
2023-01-01,..,235,17,1
2023-01-01,..,235,17,2
2023-01-01,6,48,0,1
2023-01-01,7,48,0,2
2023-01-01,11,48,1,1
2023-01-01,17,48,1,2
2023-01-01,..,48,2,1
2023-01-01,8,48,2,2
2023-01-01,5,48,3,1
2023-01-01,..,48,3,2
2023-01-01,16,48,4,1
2023-01-01,18,48,4,2
2023-01-01,42,48,5,1
2023-01-01,48,48,5,2
2023-01-01,44,48,6,1
2023-01-01,50,48,6,2
2023-01-01,36,48,7,1
2023-01-01,41,48,7,2
2023-01-01,22,48,8,1
2023-01-01,34,48,8,2
2023-01-01,12,48,9,1
2023-01-01,33,48,9,2
2023-01-01,15,48,10,1
2023-01-01,15,48,10,2
2023-01-01,11,48,11,1
2023-01-01,26,48,11,2
2023-01-01,8,48,12,1
2023-01-01,12,48,12,2
2023-01-01,..,48,13,1
2023-01-01,..,48,13,2
2023-01-01,..,48,14,1
2023-01-01,..,48,14,2
2023-01-01,8,48,15,1
2023-01-01,5,48,15,2
2023-01-01,..,48,16,1
2023-01-01,..,48,16,2
2023-01-01,..,48,17,1
2023-01-01,..,48,17,2
2023-01-01,25590,58,0,1
2023-01-01,27243,58,0,2
2023-01-01,26762,58,1,1
2023-01-01,28139,58,1,2
2023-01-01,28414,58,2,1
2023-01-01,30164,58,2,2
2023-01-01,27953,58,3,1
2023-01-01,29306,58,3,2
2023-01-01,24990,58,4,1
2023-01-01,25441,58,4,2
2023-01-01,26467,58,5,1
2023-01-01,26315,58,5,2
