"Txhash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0x5c7180d37f79029a32a8f89c654108e3035d2e69c0e0260ef7172fe89b0b075d","18251033","1696107215","2023-09-30 20:53:35","0x8cb6b6b3fe2a152dcc60a7b2d99c2bfda6974e01","0x204d9de758217a39149767731a87bcc32427b6ef","164,069.2653538877","$49,706.68","0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7","Gro DAO Token","GRO"
"0x638e52793562b77bfcd5d67b7a1e435bab8c23d92f7d1ce6f85ef275c57443a2","18253941","1696142207","2023-10-01 06:36:47","0xf2f86bc7e613cf7241babf4bd23882be5f029254","0x204d9de758217a39149767731a87bcc32427b6ef","1,505.212842727855218702","$457.35","0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7","Gro DAO Token","GRO"
"0xa2046917c1704db87b777ce8d7428a282c248b3f389657a9e4fef3a7c524ccc2","18254541","1696149467","2023-10-01 08:37:47","0x03a13b51afedaac32fd63092c0dc75e00536096d","0x204d9de758217a39149767731a87bcc32427b6ef","1,239.121819729783626098","$376.50","0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7","Gro DAO Token","GRO"
"0x6dd9b2778b238c9f4efa117dcc9c340204e850de5fabf96d24c0ba77756d82f2","18254852","1696153199","2023-10-01 09:39:59","0xe13c20a20356a3dac7518c0e30aac27fbcc7dac4","0x204d9de758217a39149767731a87bcc32427b6ef","6,279.952446099728","$1,908.12","0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7","Gro DAO Token","GRO"
"0x6deba759693b246ac70bfd367c24fffa9b071be2f456453208b61fb235831dc1","18256239","1696169975","2023-10-01 14:19:35","0x339dab47bdd20b4c05950c4306821896cfb1ff1a","0x204d9de758217a39149767731a87bcc32427b6ef","3,962.14","$1,203.87","0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7","Gro DAO Token","GRO"
"0xe86b2f4efdb827109bcc302204703043e5992c7adc6edad7609e4d64de3284b7","18256633","1696174775","2023-10-01 15:39:35","0xe457134db87f4246865882a7e3835aa84c4b8d6e","0x204d9de758217a39149767731a87bcc32427b6ef","300","$91.15","0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7","Gro DAO Token","GRO"
"0x191b1c4b28a021baca1af216a780c689e646415642d6c6a256f6e0b30d5d39d0","18256753","1696176215","2023-10-01 16:03:35","0xaf28ff1e506062f92f70ed9c383b7a2bc7c07431","0x204d9de758217a39149767731a87bcc32427b6ef","370.953231805106667038","$112.71","0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7","Gro DAO Token","GRO"
"0x59c698a74735e06e86da8b66164ac14ee23b37a73cb336f723cae4cb7707aba3","18257136","1696180823","2023-10-01 17:20:23","0x3dae4547b13471ad7a22771d3391e65ad1d4f171","0x204d9de758217a39149767731a87bcc32427b6ef","144,316.158093734903664242","$43,849.42","0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7","Gro DAO Token","GRO"
"0x7c44cc016118d692bbdf8be53db6e2b2386a30275b28fb40ef96b708628371c5","18257282","1696182575","2023-10-01 17:49:35","0xa31f8afd785ec32df8df77ab83978e49cc0349ac","0x204d9de758217a39149767731a87bcc32427b6ef","184,236.24923891452917679","$55,978.85","0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7","Gro DAO Token","GRO"
"0x14cf38c3bb59d9e0d52ce15fbd2e47eae60d7e2a00a6bdbd8192afc9b65d0a47","18257360","1696183511","2023-10-01 18:05:11","0xdda5549d32b8cc62fac58254f14c52d45978d1c1","0x204d9de758217a39149767731a87bcc32427b6ef","14,075.622035317140252667","$4,276.78","0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7","Gro DAO Token","GRO"
"0xa2fe0af495c6783f4f35210fe20b0a87b73ab8bf9233e1187976d7ec1e1b7b1a","18259501","1696209359","2023-10-02 01:15:59","0x2b19fde5d7377b48be50a5d0a78398a496e8b15c","0x204d9de758217a39149767731a87bcc32427b6ef","150,055.88930636997","$46,627.16","0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7","Gro DAO Token","GRO"
"0xc97174ab58633521820c23ca3ec5917d679ea350c9d466b2a6ac845f3ceb44e3","18259990","1696215251","2023-10-02 02:54:11","0x875385f8099fae7e2c1a45cc5144ceb61529ed3e","0x204d9de758217a39149767731a87bcc32427b6ef","250.008895108727109619","$77.69","0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7","Gro DAO Token","GRO"
"0x8a6518e177ecc15a868847c0c47c565a9ad69b24bf489c0603507b5179f3b094","18262165","1696241483","2023-10-02 10:11:23","0x1aa513fc38be8fa8e6e29ef68910a09e891aff2e","0x204d9de758217a39149767731a87bcc32427b6ef","935.843776419214542637","$290.80","0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7","Gro DAO Token","GRO"
"0x4106c7df171873b74446121f91c9a2498fb144d777866b51d2641ded045b06eb","18263073","1696252415","2023-10-02 13:13:35","0x319fa9b7863fd629f33325f159143b82d0fa7b94","0x204d9de758217a39149767731a87bcc32427b6ef","277.05","$86.09","0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7","Gro DAO Token","GRO"
"0x0ad184a6d98867c863992a4acb2a1dcd1ca1b30bc96bca579e822c400d36be00","18263084","1696252547","2023-10-02 13:15:47","0x58654f05384e90004ec571ce732598c0f0b0ed79","0x204d9de758217a39149767731a87bcc32427b6ef","1,006.692978847691771432","$312.81","0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7","Gro DAO Token","GRO"
"0x521002d321d660a76375084225097090fb5532b1fff4cbf28c7b11fc6855eeea","18263091","1696252631","2023-10-02 13:17:11","0x03ce77d68c5ef952d91ff53c336ffa260f43caa0","0x204d9de758217a39149767731a87bcc32427b6ef","616.4930648773808","$191.56","0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7","Gro DAO Token","GRO"
"0x437c068a7e1d016c2203ae3ce356a45e355f4086e5c457f3dff1fe62b3c08380","18263660","1696259495","2023-10-02 15:11:35","0xc398f6d8d77b373125641bf6a4e044f43166f676","0x204d9de758217a39149767731a87bcc32427b6ef","6,751.899121155812239599","$2,098.03","0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7","Gro DAO Token","GRO"
"0xabbe7516fc86da89cff935e3efcc41435209edc59fc25773bc84a15c35e7ee47","18264169","1696265651","2023-10-02 16:54:11","0x141d792bb52cf321ecd57338d0ec3024dee85db5","0x204d9de758217a39149767731a87bcc32427b6ef","48,821.534239538790087136","$15,170.41","0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7","Gro DAO Token","GRO"
"0x5f714267323297057055a3e1f46504e351089368999258c59c8f8e4c4a159311","18264911","1696274579","2023-10-02 19:22:59","0xcc262641fc6d2b17e8b20db942026a25bfac72ef","0x204d9de758217a39149767731a87bcc32427b6ef","32,821.65000852063929968","$10,198.73","0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7","Gro DAO Token","GRO"
"0x1f334fedf5baac4093b288239b07c406d1a70c4ce5f81bbb671cd83bbf36b436","18265339","1696279727","2023-10-02 20:48:47","0x08d0b7efd89319c2baddab8dd5ba8c7952aedcd4","0x204d9de758217a39149767731a87bcc32427b6ef","36,948.139826685416259466","$11,480.97","0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7","Gro DAO Token","GRO"
"0xbf1c137d7007eed74668b37a03a17e2608c14bc601dd00d567e596d8781adb24","18265426","1696280771","2023-10-02 21:06:11","0xee23f4bc1671d048a8e592aabd0b2be497bcb5c2","0x204d9de758217a39149767731a87bcc32427b6ef","2,089.8763702483907","$649.39","0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7","Gro DAO Token","GRO"
"0x591c9ebd11374aa777a7e8a0428107b79ffceccc07c2fb40efb0bfd46f5efba4","18265537","1696282103","2023-10-02 21:28:23","0x597d4dc2b6662c37e42d9588754a40129704eacf","0x204d9de758217a39149767731a87bcc32427b6ef","86,732.92776463342","$26,950.69","0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7","Gro DAO Token","GRO"
"0xeaa409812a37285055cfc4df5e1285a361f77422d2c1b6650369701557a62ab6","18266925","1696298843","2023-10-03 02:07:23","0x7e5edbeb224ede5535a7e95fa27194914e4bdfde","0x204d9de758217a39149767731a87bcc32427b6ef","148.683840218004443277","$43.81","0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7","Gro DAO Token","GRO"
"0xd2ae2a23e88b83ff26b4a2a13c82ad0f8dbed609322f0d1ae392214931332695","18266952","1696299167","2023-10-03 02:12:47","0xe601043c33d78eaebc8e27e0436e7a0d11efe1b0","0x204d9de758217a39149767731a87bcc32427b6ef","981.299225205635214736","$289.17","0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7","Gro DAO Token","GRO"
"0x6904292dc037a72bbeb2a6e72f9ec88e775e1c2598b3ccf65be927befcc99543","18267086","1696300787","2023-10-03 02:39:47","0x9fd660675c49f32c0aaa14f9b8b93134e134afef","0x204d9de758217a39149767731a87bcc32427b6ef","702,956.252974543116768528","$207,150.95","0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7","Gro DAO Token","GRO"
"0x071ede9d85da46bb42c98c9c8c1fef97c1f5ab19c07915a9fb0475b56f6d2500","18267462","1696305323","2023-10-03 03:55:23","0x65331fa9893357a3c0459eabb7866babd69c376f","0x204d9de758217a39149767731a87bcc32427b6ef","5,363.01038946026","$1,580.40","0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7","Gro DAO Token","GRO"
"0xc10f45891efb2fab73608d158e571ba34b0b85eab9076c92b4b9a69720dfe22c","18269026","1696324199","2023-10-03 09:09:59","0xed02dac9726f15498559c05ce56470ab4d18eaef","0x204d9de758217a39149767731a87bcc32427b6ef","841.124323615353894133","$247.87","0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7","Gro DAO Token","GRO"
"0x9eb9b8aa78cb82a08b02a1eb56eb2ab5b809301c20f8924e5e3d9318e9285f98","18269615","1696331315","2023-10-03 11:08:35","0x597d4dc2b6662c37e42d9588754a40129704eacf","0x204d9de758217a39149767731a87bcc32427b6ef","7,201","$2,122.03","0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7","Gro DAO Token","GRO"
"0x17b56547997f4ef951fdf3b45eebabe4d3cc5a25e998a24ffd9cfbf86a430331","18270008","1696336067","2023-10-03 12:27:47","0x9d8385f270e7f709e64fb6467b94373d9c4fbc52","0x204d9de758217a39149767731a87bcc32427b6ef","16,552.0930029435045803","$4,877.66","0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7","Gro DAO Token","GRO"
"0xde1798db0ed7d5b14417b0cdaa69d4f154d839c683e8f82420af2c6d88b49964","18270618","1696343495","2023-10-03 14:31:35","0x476ecee2de6e667e0cd5a8caff49e9e8926c11eb","0x204d9de758217a39149767731a87bcc32427b6ef","18,000.170857536500916751","$5,304.39","0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7","Gro DAO Token","GRO"
"0x5b940a02c13348da044dd443ff363476a511e9fcc02641477096bf2d675ed3aa","18271343","1696352327","2023-10-03 16:58:47","0xa27b1b4651f52ef13566e9c026b3e0baab3b4156","0x204d9de758217a39149767731a87bcc32427b6ef","2,864.008912054035020385","$843.98","0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7","Gro DAO Token","GRO"
"0x308293a47e421614408fdf51e08e2f866965ed667fa99e1064d7875267324f28","18272079","1696361207","2023-10-03 19:26:47","0x236bca0806a0fa0563b4db4698a5f850a283cf18","0x204d9de758217a39149767731a87bcc32427b6ef","35,195.254610231845853771","$10,371.53","0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7","Gro DAO Token","GRO"
"0x13196354f729ed5a54b964a912b076e61be834a01f89f6cfc9278779ca837b44","18272674","1696368383","2023-10-03 21:26:23","0x231919835aa6c37092ba56200e477a39d31f25b2","0x204d9de758217a39149767731a87bcc32427b6ef","1,500.131184392076829107","$442.07","0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7","Gro DAO Token","GRO"
"0x1cb8cd43b99b6005f6932e3526ed287f1802e10df23d0ceffb05851485523c5e","18272690","1696368575","2023-10-03 21:29:35","0x204d9de758217a39149767731a87bcc32427b6ef","0x231919835aa6c37092ba56200e477a39d31f25b2","1,500.131184392076829107","$442.07","0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7","Gro DAO Token","GRO"
"0xec4d9ac3fbf2778f2efc7fb80bea1126d120ee76e68dc918a61568d1e89ec757","18273632","1696379975","2023-10-04 00:39:35","0x8e2f7d5aaae5abbd5052acb74019b9b11cb74349","0x204d9de758217a39149767731a87bcc32427b6ef","350.581950480054545578","$106.01","0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7","Gro DAO Token","GRO"
"0xade1d371adfa3f70f432d576779bf33470b6e811a4ace97ac8f334ebaaed2f39","18274170","1696386467","2023-10-04 02:27:47","0x60621010bbb308382a60ff49678de48d1029df9c","0x204d9de758217a39149767731a87bcc32427b6ef","2,517.12051004825035598","$761.11","0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7","Gro DAO Token","GRO"
"0x7e754297083992d06402f183b53c75376ddada2d1714e57c4217c54c08bf5820","18276666","1696416599","2023-10-04 10:49:59","0x204d9de758217a39149767731a87bcc32427b6ef","0x597d4dc2b6662c37e42d9588754a40129704eacf","900","$272.14","0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7","Gro DAO Token","GRO"
"0x34d811d011949daa9b1da3b751eba688e9249331bb805770c5f84848b9eaa669","18276881","1696419203","2023-10-04 11:33:23","0xcc262641fc6d2b17e8b20db942026a25bfac72ef","0x204d9de758217a39149767731a87bcc32427b6ef","8,339.995489971779812478","$2,521.80","0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7","Gro DAO Token","GRO"
