Address,UserType,NetTokenValue
0x4f2769e87c7d96ed9ca72084845ee05e7de5dda2,Community,514.6435735412986
0x4f8bb28187cc89ddad0f35aa76a4693a54595c24,Community,25.0
0x53f03cba42177e3286f3bd04984bb7aa313b524a,Community,40.0
0x551545c6aa92cd6ed0e2fe9487008ac2bd91056a,Community,2821.4994051130966
0x559a41e9b0bf708d61ae720ad4907479fdbe8f37,Community,170.06960536490277
0x55bcc5c24ef24fe3483d1df138db0eb648342ab8,Community,591.6530703875266
0x5665785813011a5c37c10972f8d3d463441637c3,Community,1455.7357514904195
0x57dc0873ae0f07c400c1b04b328ae0a30f0be608,Community,20007.623492775914
0x58654f05384e90004ec571ce732598c0f0b0ed79,Community,1006.6929788476917
0x592ca03d4903ff7dd3e247fe2a8229c7ddf145c8,Owner,3139294.347524239
0x597d4dc2b6662c37e42d9588754a40129704eacf,Community,92033.92776463342
0x598f067eb982b38789ef3f4efde657b319511418,Community,1208.826834697032
0x5a9da824ce38274852ae8a3ba60fce3c1f81f812,Owner,200000.0
0x60077c8fbbbd58c66dbc738e257d0bead647e1c4,Community,64.13
0x60621010bbb308382a60ff49678de48d1029df9c,Community,2517.1205100482503
0x62cfc31f574f8ec9719d719709bcce9866becacd,Community,108.06598701050297
0x62e199544f42132ad7f43ad711de452318c65396,Community,57849.67
0x63cbb00bbb19e834e48b5fcfac78422c705efd8c,Community,72.67444705775246
0x640588c53a60328ed9834af839132a3918336830,Community,36493.27254818701
0x6523f418c4b7260b070a17c47a206b66935d67cd,Community,13.624096058339207
0x65331fa9893357a3c0459eabb7866babd69c376f,Community,5363.01038946026
0x65cb74963ed540b271e9ab549f895e125793b68e,Community,1424.1841706629561
0x6658a2bf199351513f3e6c5694719a07a83848b3,Community,113114.46212053041
0x66dea2d2639dd894336b06840a26d19bd6a15f5f,Investor,623045.795204812
0x69bc29d277e43f0a253ca7bb79a72da6da4bcba1,Community,6876.87309126084
0x6aff656a5e44c3e9af2bc19cccafe7d30cd4cd09,Team,31268.957882877916
0x6b8271f8f8e4706305cbd4934cc30d809f74bf2b,Owner,900000.0
0x6eaf25b1b3670dfc17690adfc001cc6da65c2293,Community,801.9622322020851
0x6f0c4825420967f78fcf1736129547ac41af7a89,Community,211.7352851853373
0x6f3ac3d67d0211ad876e32916340f3cd22312bfe,Community,1176.7546189134541
0x6f9bb7e454f5b3eb2310343f0e99269dc2bb8a1d,Community,2278.883437602527
0x7002f2fb4cf333b95c8f8dc15f015e70cf9e13af,Community,46774.158317764304
0x71460b77cf7eefa7d3ec4759630344804597953d,Community,1053.0149909298934
0x7195b3eeb1a8b2b13895b4e2e5d2b694c5b30398,Community,16279.742887801769
0x73329c2737007a1b43ba19d501b10afe5580f3fa,Community,20301.26721898584
0x737051bd823887d5128a724688bc5108e91d11be,Community,299.07
0x78b8a76bea31733777556033e2a116df66c4c41c,Community,2025.1516814599156
0x79d6b9ba9209785f7596022fc90ffa09d96ba5a1,Community,46.37748123537918
0x79dca6000b6d6e1f6cd0525d1cc66d0fc766bcd7,Community,491.3196690947579
0x79f939a6e500d885806ee2135f3e013094b15141,Community,2000.0
0x7a7a427b975e2b17bea38d9713ad7078bba0c013,Community,2032.8122637493434
0x7d3b6f0fae542b06a071c8d7ad7b06ab8ad7f16a,Community,120.83065311092149
0x7e5edbeb224ede5535a7e95fa27194914e4bdfde,Community,148.68384021800443
0x7fcaf93cc92d51c490fff701fb2c6197497a80db,Investor,18104.60485808968
0x8175469cbcbe106bef6343e2981537441f26ef2d,Investor,135393.85723063466
0x82e09b1d962df46d43a08149d596d2fb08953de7,Community,0.0
0x839eaf2e7e956556abefeb79cb9ceb8c9174e979,Owner,793900.0
0x83e81d747529f0eb6145b149c438ab7f9bbd651c,Community,300.0
0x843c86947e7c2b8461ec22960ea8ea05ee0be294,Team,194193.5361285922
0x8448f455fd23a7d347adc630fd3902443c34117c,Community,300.0
0x859df1b9bb101715b7c9bfc213378e383d216241,Team,46803.657759258036
0x860e468ca7716dfa0deb4fc84459a74b3974e5c5,Community,321.41786961896344
0x863fe5b3cb1714e5c7acc8de1646d33d1421e112,Community,2684.054444623352
0x86a490512e2a5fc72d0f77b40ed9e76a3c83705f,Community,7323.218030860471
0x875385f8099fae7e2c1a45cc5144ceb61529ed3e,Community,250.0088951087271
0x8755491263b0f40318905cbe3594ba8cd3f95189,Community,778.8793534618017
0x87738c0bc93e836d1df2e55694832be2db9cc420,Community,2508.42
0x8796abe8dce8fee368e95a88b731636ef5749926,Owner,1626600.0
0x884d6fa3a4b349880486ad4d7c833ca968c785d8,Community,1367.913398753034
0x88ec8e63db2f705e518e628bcb6cbbb0a4f170b8,Community,4437.6259435635975
0x8938c0a4b1376f7ff82c4127bdb9f2eeafc3554f,Community,93899.78631511574
0x8945fc43e3b6f6bacd7eb727e04ad47887329181,Community,126538.62631842965
0x8a2f5d6d822611bdab08d306aa8f3e3942177417,Community,63419.320234494684
0x8b391a1343b10b698c141637feaa3bb07c18586d,Team,64731.251982576876
0x8c4b59f6ec2c02e45c2a404448def3a7c0465bd3,Community,0.0
0x8cb6b6b3fe2a152dcc60a7b2d99c2bfda6974e01,Community,164069.2653538877
0x8d452c1f4bae385b13933c83ecff70d74229915f,Community,749.0416566472458
0x8df0ad6eb3461caf54769496424cb1e346827edc,Community,324720.09403264296
0x8e2f7d5aaae5abbd5052acb74019b9b11cb74349,Community,350.58195048005456
0x905271bc09d526a336d1ad669ee12798ff063785,Community,945.7486257349412
0x908bb17c730b83ebea7581c0ed88e06eabb1355e,Community,515.9163228931134
0x912941f7f49ef926d7209df5f4ba58ec434988a5,Owner,100000.0
